Block,Match_ID,Site,Year,Month,Date,Obs1.Time,Obs2.Time,Group.size,Cluster_size,Obs1,Obs2,Choidogjamts,Lat.1,Long.1,Obs1.AnglePath,Obs1.AngleDetection,Obs1.Distance,Latnear,Lonnear,Neardistance,Obs1.Class1,Obs1.Class2,Obs1.Class3,Obs1.Class4,Obs1.AF,Obs1.Young,Obs1.Kid,Obs1.Unclassified,Obs2.Total,Obs2.Name,Lat.2,Long.2,Species,Sightings,Obs2.Class1,Obs2.Class2,Obs2.Class3,Obs2.Class4,Obs2.AF,Obs2.Young,Obs2.Kid,Obs2.Unclassified,total,Transect_Length
7,Day4_2,Day4_2,2022,10,29,1110,1131,3,3,1,1,Choidogjamts,43.33054,102.98428,322,310,288,43.33236,102.98049,80,,,,,1,1,1,,3,Munkhjargal,43.33196,102.98241,ibex,ibex,,,,,1,1,1,,3,15.25443777
7,Day4_2,Day4_2,2022,10,29,1125,,2,2,1,0,Choidogjamts,43.33236,102.98049,328,312,385,43.33428,102.97652,0,,,1,,,,,1,2,,,,ibex,ibex,,,,,,,,,0,15.25443777
7,Day4_2,Day4_2,2022,10,29,1256,,3,3,1,0,Choidogjamts,43.34559,102.96239,298,10,271,43.34559,102.96239,271,,,,,1,2,,,3,,,,ibex,ibex,,,,,,,,,0,15.25443777
7,Day4_2,Day4_2,2022,10,29,1418,,3,3,1,0,Choidogjamts,43.36026,102.93974,264,335,1100,43.36026,102.93974,1100,,1,1,1,,,,,3,,,,ibex,ibex,,,,,,,,,0,15.25443777
7,Day4_2,Day4_2,2022,10,29,,940,4,,0,1,,,,,,,,,,,,,,,,,,0,Munkhjargal,43.33713,102.99812,,ibex,1,1,,,2,,,,4,15.25443777
7,Day4_3,Day4_3,2022,10,30,1027,,5,5,1,0,Tegshjargal,43.46016,102.88763,210,180,407,43.46016,102.88763,407,,,,,3,,2,,5,,,,ibex,ibex,,,,,,,,,0,13.91184945
7,Day4_3,Day4_3,2022,10,30,1235,,1,1,1,0,Tegshjargal,43.48622,102.85983,270,350,1848,43.48622,102.85983,1848,,1,,,,,,,1,,,,argali,argali,,,,,,,,,0,13.91184945
7,Day4_3,Day4_3,2022,10,30,1337,,14,14,1,0,Tegshjargal,43.49127,102.84977,280,300,79,43.4915,102.84875,10,,1,1,1,6,2,3,,14,,,,argali,argali,,,,,,,,,0,13.91184945
7,Day4_3,Day4_3,2022,10,30,1507,,2,2,1,0,Tegshjargal,43.4942,102.82141,270,300,514,43.49397,102.81365,361,,,,,1,,1,,2,,,,argali,argali,,,,,,,,,0,13.91184945
7,Day4_3,Day4_3,2022,10,30,1510,,5,5,1,0,Tegshjargal,43.4942,102.82141,270,315,547,43.49397,102.81365,536,,,,1,3,1,,,5,,,,argali,argali,,,,,,,,,0,13.91184945
